threshold,coverage,resolution_rate,automation_precision,silent_failure_rate,deferral_rate,cost_per_contact,saving_per_contact,value_per_period
0.0,1.0,0.7558181818181818,0.7558181818181818,0.18181818181818182,0.0,4.515272727272727,1.4847272727272731,148472.72727272732
0.005,1.0,0.7558181818181818,0.7558181818181818,0.18181818181818182,0.0,4.515272727272727,1.4847272727272731,148472.72727272732
0.01,1.0,0.7558181818181818,0.7558181818181818,0.18181818181818182,0.0,4.515272727272727,1.4847272727272731,148472.72727272732
0.015,1.0,0.7558181818181818,0.7558181818181818,0.18181818181818182,0.0,4.515272727272727,1.4847272727272731,148472.72727272732
0.02,0.9996363636363635,0.7558181818181818,0.7560931247726447,0.18145454545454545,0.0003636363636364548,4.51090909090909,1.4890909090909101,148909.090909091
0.025,0.9987272727272727,0.7558181818181818,0.7567813580921173,0.18054545454545454,0.0012727272727273142,4.5,1.5,150000.0
0.03,0.9956363636363637,0.7558181818181818,0.7591307523739956,0.17781818181818182,0.004363636363636347,4.462909090909092,1.5370909090909084,153709.09090909085
0.035,0.9910909090909089,0.7558181818181818,0.7626123647037243,0.17345454545454544,0.008909090909091089,4.408363636363634,1.5916363636363657,159163.6363636366
0.04,0.9847272727272727,0.7558181818181818,0.7675406203840474,0.16745454545454547,0.015272727272727327,4.331999999999999,1.668000000000001,166800.00000000012
0.045,0.9785454545454546,0.7558181818181818,0.7723894463024897,0.16163636363636363,0.021454545454545393,4.257818181818182,1.7421818181818178,174218.1818181818
0.05,0.9712727272727271,0.7554545454545454,0.7777985773118683,0.15545454545454546,0.028727272727272934,4.177090909090907,1.8229090909090928,182290.9090909093
0.055,0.9647272727272727,0.7552727272727272,0.7828872973991707,0.14963636363636362,0.035272727272727344,4.1018181818181825,1.8981818181818175,189818.18181818177
0.06,0.956,0.7552727272727272,0.7900342335488779,0.14181818181818182,0.04400000000000004,3.99709090909091,2.00290909090909,200290.90909090897
0.065,0.9485454545454545,0.755090909090909,0.7960513705194556,0.13636363636363635,0.05145454545454553,3.910909090909091,2.089090909090909,208909.09090909088
0.07,0.9423636363636364,0.7549090909090909,0.8010804553347481,0.13145454545454546,0.0576363636363636,3.8400000000000016,2.1599999999999984,215999.99999999983
0.075,0.9359999999999999,0.7547272727272726,0.8063325563325562,0.1258181818181818,0.06400000000000006,3.7669090909090928,2.2330909090909072,223309.09090909074
0.08,0.9307272727272727,0.7547272727272726,0.8109005665168977,0.1210909090909091,0.06927272727272726,3.7036363636363667,2.2963636363636333,229636.36363636333
0.085,0.9245454545454544,0.7541818181818182,0.8157325467059982,0.11636363636363636,0.07545454545454555,3.6392727272727265,2.3607272727272735,236072.72727272735
0.09,0.9199999999999999,0.7536363636363635,0.8191699604743082,0.11254545454545455,0.08000000000000007,3.5945454545454556,2.4054545454545444,240545.45454545444
0.095,0.9159999999999999,0.7534545454545454,0.8225486304088924,0.10909090909090909,0.08400000000000007,3.5498181818181824,2.4501818181818176,245018.18181818177
0.1,0.9105454545454544,0.753090909090909,0.827076677316294,0.10436363636363635,0.08945454545454556,3.490909090909091,2.509090909090909,250909.09090909088
0.105,0.9054545454545454,0.7527272727272727,0.8313253012048193,0.10018181818181819,0.0945454545454546,3.4363636363636365,2.5636363636363635,256363.63636363635
0.11,0.9016363636363636,0.7527272727272727,0.8348457350272233,0.09636363636363637,0.09836363636363643,3.3905454545454545,2.6094545454545455,260945.45454545456
0.115,0.8978181818181818,0.7525454545454545,0.8381936006480356,0.09345454545454546,0.10218181818181815,3.3480000000000008,2.6519999999999992,265199.99999999994
0.12,0.8929090909090909,0.7519999999999999,0.8421909997963754,0.08945454545454545,0.10709090909090913,3.298909090909093,2.701090909090907,270109.0909090907
0.125,0.8885454545454545,0.7514545454545454,0.8457131164313484,0.086,0.11145454545454547,3.2563636363636377,2.7436363636363623,274363.63636363624
0.13,0.884,0.751090909090909,0.8496503496503496,0.08236363636363637,0.11599999999999999,3.2083636363636376,2.7916363636363624,279163.63636363624
0.135,0.8810909090909091,0.7507272727272727,0.8520429219975236,0.08036363636363637,0.11890909090909085,3.1800000000000015,2.8199999999999985,281999.9999999998
0.14,0.8774545454545454,0.7507272727272727,0.8555739743058434,0.07709090909090908,0.12254545454545462,3.136363636363636,2.863636363636364,286363.6363636364
0.145,0.8741818181818182,0.7499999999999999,0.857945091514143,0.07490909090909091,0.12581818181818183,3.1101818181818204,2.8898181818181796,288981.81818181794
0.15,0.8709090909090909,0.7492727272727272,0.8603340292275574,0.07254545454545455,0.12909090909090915,3.084000000000001,2.915999999999999,291599.9999999999
0.155,0.8683636363636363,0.7485454545454545,0.8620184254606365,0.07090909090909091,0.13163636363636366,3.066545454545455,2.933454545454545,293345.4545454545
0.16,0.8645454545454545,0.7474545454545454,0.8645636172450052,0.06854545454545455,0.1354545454545455,3.0403636363636375,2.9596363636363625,295963.63636363624
0.165,0.8610909090909091,0.7463636363636363,0.8667652027027026,0.06654545454545455,0.13890909090909087,3.0185454545454555,2.9814545454545445,298145.4545454545
0.17,0.8574545454545455,0.7458181818181818,0.86980491942324,0.064,0.14254545454545453,2.9847272727272727,3.0152727272727273,301527.2727272727
0.175,0.8543636363636363,0.7456363636363635,0.8727388806128963,0.062181818181818185,0.14563636363636367,2.950909090909092,3.049090909090908,304909.0909090908
0.18,0.8514545454545455,0.745090909090909,0.8750800768737987,0.060181818181818184,0.14854545454545454,2.925818181818183,3.074181818181817,307418.1818181817
0.185,0.8494545454545454,0.7447272727272727,0.8767123287671234,0.059272727272727276,0.15054545454545465,2.908363636363636,3.091636363636364,309163.6363636364
0.19,0.8478181818181818,0.7441818181818182,0.8777610980055758,0.058545454545454546,0.1521818181818182,2.8985454545454545,3.1014545454545455,310145.45454545453
0.195,0.8454545454545453,0.743090909090909,0.8789247311827957,0.05763636363636364,0.15454545454545465,2.889818181818182,3.110181818181818,311018.1818181818
0.2,0.8438181818181817,0.7427272727272727,0.8801982331394097,0.05672727272727273,0.1561818181818183,2.8767272727272717,3.1232727272727283,312327.2727272728
0.205,0.84,0.7418181818181817,0.883116883116883,0.05418181818181818,0.16000000000000003,2.8472727272727285,3.1527272727272715,315272.7272727272
0.21,0.8370909090909091,0.7414545454545455,0.8857515204170286,0.05236363636363636,0.1629090909090909,2.8189090909090906,3.1810909090909094,318109.09090909094
0.215,0.835090909090909,0.7412727272727272,0.8876551273677336,0.05090909090909092,0.164909090909091,2.7981818181818188,3.2018181818181812,320181.8181818181
0.22,0.8327272727272726,0.741090909090909,0.8899563318777293,0.04927272727272728,0.16727272727272735,2.773090909090909,3.226909090909091,322690.9090909091
0.225,0.8305454545454545,0.7405454545454545,0.8916374781085815,0.048363636363636366,0.16945454545454552,2.7567272727272725,3.2432727272727275,324327.27272727276
0.23,0.8276363636363636,0.7398181818181818,0.8938927943760985,0.04654545454545455,0.17236363636363639,2.734909090909091,3.265090909090909,326509.0909090909
0.235,0.8252727272727273,0.7396363636363636,0.8962326503635162,0.04509090909090909,0.17472727272727273,2.7098181818181812,3.2901818181818188,329018.1818181819
0.24,0.8225454545454545,0.7383636363636363,0.897656940760389,0.04381818181818182,0.17745454545454553,2.6999999999999997,3.3000000000000003,330000.0
0.245,0.8212727272727273,0.738,0.8986052689838389,0.04290909090909091,0.17872727272727273,2.691272727272727,3.308727272727273,330872.7272727273
0.25,0.82,0.7372727272727272,0.8991130820399112,0.04236363636363637,0.18000000000000005,2.6890909090909103,3.3109090909090897,331090.90909090894
0.255,0.8167272727272726,0.7365454545454545,0.9018254674977739,0.04072727272727273,0.18327272727272736,2.662909090909091,3.337090909090909,333709.0909090909
0.26,0.814,0.7356363636363635,0.9037301764574491,0.03927272727272727,0.18600000000000005,2.646545454545456,3.353454545454544,335345.4545454544
0.265,0.8127272727272726,0.7352727272727272,0.9046979865771813,0.03854545454545454,0.18727272727272737,2.637818181818182,3.362181818181818,336218.18181818177
0.27,0.8098181818181817,0.7347272727272727,0.9072743601257298,0.03727272727272727,0.19018181818181834,2.6127272727272715,3.3872727272727285,338727.2727272729
0.275,0.8087272727272727,0.7345454545454545,0.9082733812949639,0.03672727272727273,0.19127272727272726,2.6029090909090917,3.3970909090909083,339709.0909090908
0.28,0.8067272727272726,0.7339999999999999,0.9098489970700924,0.035454545454545454,0.19327272727272737,2.588727272727274,3.411272727272726,341127.2727272726
0.285,0.8049090909090908,0.7329090909090908,0.9105489044499662,0.03490909090909091,0.1950909090909092,2.5865454545454543,3.4134545454545457,341345.4545454546
